Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
207,"KANNAMWARGRAM (HETI) , NANDORA",BJP,16.52719665,79,478,267,55.85774059,188,39.33054393,4,2,1,0,0,9,2,2,3,20,MODERATE,WEAK
208,Kajali,BJP,8.575803982,56,653,343,52.52679939,287,43.95099541,6,4,1,1,0,4,0,4,3,20,MODERATE,WEAK
209,JOGA,BJP,10.03460208,29,289,131,45.32871972,102,35.29411765,6,2,1,1,3,39,1,2,1,55,WEAK,WEAK
210,Nagazari,BJP,26.47058824,117,442,266,60.18099548,149,33.71040724,7,4,1,0,0,9,3,1,2,25,MODERATE,WEAK
211,Rahati,INC,12.88014311,72,559,210,37.56708408,282,50.44722719,0,2,0,2,0,59,1,1,2,65,WEAK,MODERATE
212,Bangadapur,BJP,15.58139535,67,430,206,47.90697674,139,32.3255814,3,5,2,0,2,62,7,1,3,82,WEAK,WEAK
213,Dhaga,INC,5.813953488,10,172,34,19.76744186,44,25.58139535,0,1,0,2,0,87,3,0,1,93,WEAK,WEAK
214,Bramhanavada,INC,11.96428571,67,560,201,35.89285714,268,47.85714286,7,11,1,1,0,51,8,0,12,79,WEAK,WEAK
215,Chopan,INC,5.263157895,24,456,170,37.28070175,194,42.54385965,5,8,3,0,0,72,1,1,2,90,WEAK,WEAK
216,PANJARA (GONDI),INC,1.268498943,6,473,198,41.86046512,204,43.12896406,3,3,0,0,1,61,0,1,2,69,WEAK,WEAK
217,Vadhona Booth No1,BJP,3.181818182,21,660,328,49.6969697,307,46.51515152,5,4,2,0,1,0,2,0,11,14,WEAK,WEAK
218,Vadhona Booth No2,INC,13.35616438,78,584,247,42.29452055,325,55.65068493,4,0,0,2,0,3,0,0,3,9,WEAK,MODERATE
219,Vadhona Booth No3,BJP,24.15254237,171,708,425,60.02824859,254,35.87570621,9,9,1,2,0,2,2,0,4,25,MODERATE,WEAK
220,Bedhona,INC,0.403225806,3,744,324,43.5483871,327,43.9516129,9,3,0,3,2,60,6,1,9,84,WEAK,WEAK
221,Bajaravada,INC,5.544554455,28,505,194,38.41584158,222,43.96039604,27,36,1,0,0,0,20,1,3,85,WEAK,WEAK
222,Pachegaon,INC,25.14619883,129,513,160,31.18908382,289,56.33528265,5,24,0,0,1,30,0,0,4,60,WEAK,MODERATE
223,Khubagaon Booth No1,INC,7.624113475,43,564,218,38.65248227,261,46.27659574,54,16,0,1,0,5,2,1,5,79,WEAK,WEAK
224,Khubagaon Booth No2,INC,1.919720768,11,573,272,47.46945899,283,49.38917976,11,3,1,0,0,3,0,0,1,18,WEAK,WEAK
225,Rajapur,BJP,7.715133531,26,337,178,52.8189911,152,45.10385757,1,4,0,0,1,0,0,0,1,6,MODERATE,WEAK
226,Karmabad,BJP,15.2866242,48,314,155,49.36305732,107,34.07643312,30,3,0,0,0,16,0,0,2,49,WEAK,WEAK
227,Ithalapur,INC,3.550295858,18,507,239,47.14003945,257,50.69033531,1,2,1,0,1,0,0,4,3,9,WEAK,MODERATE
228,Deuravada Booth No1,INC,7.350689127,48,653,293,44.86983155,341,52.22052067,5,1,0,0,0,5,0,1,6,12,WEAK,MODERATE
229,Deuravada Booth No2,INC,5.095541401,32,628,269,42.8343949,301,47.92993631,4,8,1,4,1,0,37,1,3,56,WEAK,WEAK
230,Ahiravada,BJP,8.428246014,37,439,224,51.02505695,187,42.59681093,3,1,0,1,0,13,4,1,5,18,MODERATE,WEAK
231,Sarkasapur,INC,17.51824818,72,411,166,40.3892944,238,57.90754258,2,4,0,0,0,0,0,0,1,6,WEAK,MODERATE
232,Vathoda Booth No1,INC,10.38406828,73,703,281,39.9715505,354,50.35561878,3,51,0,1,2,1,2,4,3,64,WEAK,MODERATE
233,Vathoda Booth No2,INC,6.361607143,57,896,390,43.52678571,447,49.88839286,15,18,1,2,0,1,4,11,8,52,WEAK,WEAK
234,Vathoda Booth No3,BJP,12.42105263,59,475,260,54.73684211,201,42.31578947,3,2,0,2,0,0,2,0,5,9,MODERATE,WEAK
235,Dahegaon (mu ) Booth No1,BJP,6.962785114,58,833,432,51.8607443,374,44.89795918,9,12,0,1,0,1,1,0,3,24,MODERATE,WEAK
236,Dahegaon (mu ) Booth No2,BJP,17.63727121,106,601,340,56.57237937,234,38.93510815,6,11,0,3,0,0,0,2,5,22,MODERATE,WEAK
237,Pipanlakhuta Booth No1,BJP,5.357142857,27,504,251,49.8015873,224,44.44444444,2,9,0,2,10,5,0,0,1,28,WEAK,WEAK
238,Pipanlakhuta Booth No2,BJP,11.93693694,53,444,216,48.64864865,163,36.71171171,5,34,1,0,3,16,1,1,4,61,WEAK,WEAK
239,Danapur,BJP,8.142857143,57,700,320,45.71428571,263,37.57142857,4,43,0,4,1,53,2,0,10,107,WEAK,WEAK
240,Khairavada,INC,1.01010101,3,297,111,37.37373737,114,38.38383838,5,7,0,1,0,59,0,0,0,72,WEAK,WEAK
241,Masod,BJP,15.73208723,101,642,306,47.6635514,205,31.93146417,25,7,0,1,1,88,2,1,6,125,WEAK,WEAK
242,Ladagad,BJP,26.61290323,99,372,188,50.53763441,89,23.92473118,3,1,2,1,1,83,2,0,2,93,MODERATE,WEAK
243,"SINDIVIHIRI , BUDHALAGAD",BJP,20.3539823,115,565,236,41.7699115,121,21.4159292,2,4,0,1,2,187,9,0,3,205,WEAK,WEAK
244,"SINDIVIHIRI , AMBHORA",BJP,25.2559727,74,293,138,47.09897611,64,21.84300341,1,4,0,1,2,76,0,3,4,87,WEAK,WEAK
245,DHANOLI,INC,7.883211679,54,685,264,38.54014599,318,46.42335766,4,6,0,0,0,82,4,1,6,97,WEAK,WEAK
246,Metahiraji,BJP,8.541666667,41,480,227,47.29166667,186,38.75,4,11,3,1,1,44,1,0,2,65,WEAK,WEAK
247,Maragasur,BJP,16.11111111,58,360,140,38.88888889,82,22.77777778,5,3,4,1,3,118,0,2,2,136,WEAK,WEAK
248,Susudan,INC,7.843137255,32,408,147,36.02941176,179,43.87254902,4,18,1,1,0,45,1,0,12,70,WEAK,WEAK
249,Saheli,BJP,33.66935484,167,496,256,51.61290323,89,17.94354839,13,6,2,1,1,122,1,0,5,146,MODERATE,WEAK
250,Bothali (ki ) Booth No1,INC,2.047244094,13,635,290,45.66929134,303,47.71653543,3,12,1,1,1,3,0,1,20,22,WEAK,WEAK
251,Bothali (ki ) Booth No2,BJP,2.583979328,10,387,193,49.87080103,183,47.28682171,1,0,2,0,1,1,0,2,4,7,WEAK,WEAK
252,Kinhala (bo ),BJP,16.61129568,50,301,149,49.50166113,99,32.89036545,0,1,1,0,0,43,1,0,7,46,WEAK,WEAK
253,Taroda Booth No2,BJP,12.55924171,53,422,231,54.73933649,178,42.18009479,1,5,0,0,2,1,1,0,3,10,MODERATE,WEAK
254,Gumgaon,INC,23.67346939,116,490,180,36.73469388,296,60.40816327,2,0,0,1,1,4,1,0,5,9,WEAK,MODERATE
255,Kavadi,BJP,14.04805915,76,541,299,55.26802218,223,41.21996303,2,3,0,0,0,11,1,0,2,17,MODERATE,WEAK
256,Pipari Booth No2,INC,24.53531599,66,269,97,36.05947955,163,60.59479554,1,2,0,0,0,1,2,0,3,6,WEAK,MODERATE
257,Pipari Booth No3,INC,18.81533101,54,287,112,39.02439024,166,57.83972125,1,1,1,1,0,1,1,0,3,6,WEAK,MODERATE
258,Neri (mirzapur),BJP,16.66666667,31,186,97,52.15053763,66,35.48387097,10,9,0,0,0,0,3,0,1,22,MODERATE,WEAK
259,Mirzapur,BJP,30.48128342,57,187,120,64.17112299,63,33.68983957,1,0,0,1,0,1,1,0,0,4,MODERATE,WEAK
260,Nimboli,BJP,17.65625,113,640,358,55.9375,245,38.28125,4,3,0,0,2,21,3,1,3,34,MODERATE,WEAK
261,Vadhona (thakare ),BJP,3.50877193,6,171,82,47.95321637,76,44.44444444,3,5,1,0,0,0,4,0,0,13,WEAK,WEAK
262,Antaradoh,INC,31.28654971,107,342,108,31.57894737,215,62.86549708,1,11,0,0,0,0,3,0,4,15,WEAK,MODERATE
263,Borgaon (hatala),BJP,12.87758347,81,629,317,50.39745628,236,37.51987281,0,0,0,0,0,0,0,0,0,0,MODERATE,WEAK
264,Dhanodi (baha. ) Booth No1,BJP,7.623888183,60,787,342,43.45616264,282,35.83227446,14,5,0,0,1,52,4,3,84,79,WEAK,WEAK
